season,match_date,match_date_orig,match_time,home_club_code,away_club_code,home_club_score,away_club_score
1992_1993,,,,ARS,COV,3,0
1992_1993,,,,ARS,CRY,3,0
1992_1993,,,,ARS,LEE,0,0
1992_1993,,,,ARS,MUN,0,1
1992_1993,,,,ARS,NOR,2,4
1992_1993,,,,ARS,SHU,1,1
1992_1993,,,,ARS,AVL,0,1
1992_1993,,,,ARS,MCI,1,0
1992_1993,,,,ARS,NFO,1,1
1992_1993,,,,ARS,SOU,4,3
1992_1993,,,,ARS,WIM,0,1
1992_1993,,,,ARS,BLB,0,1
1992_1993,,,,ARS,IPS,0,0
1992_1993,,,,ARS,OLD,2,0
1992_1993,,,,ARS,CHE,2,1
1992_1993,,,,ARS,EVE,2,0
1992_1993,,,,ARS,LIV,0,1
1992_1993,,,,ARS,MID,1,1
1992_1993,,,,ARS,QPR,0,0
1992_1993,,,,ARS,SHW,2,1
1992_1993,,,,ARS,TOT,1,3
1992_1993,,,,AVL,EVE,2,1
1992_1993,,,,AVL,BLB,0,0
1992_1993,,,,AVL,COV,0,0
1992_1993,,,,AVL,LIV,4,2
1992_1993,,,,AVL,MCI,3,1
1992_1993,,,,AVL,NOR,2,3
1992_1993,,,,AVL,NFO,2,1
1992_1993,,,,AVL,SHU,3,1
1992_1993,,,,AVL,SOU,1,1
1992_1993,,,,AVL,ARS,1,0
1992_1993,,,,AVL,MUN,1,0
1992_1993,,,,AVL,QPR,2,0
1992_1993,,,,AVL,SHW,2,0
1992_1993,,,,AVL,TOT,0,0
1992_1993,,,,AVL,CHE,1,3
1992_1993,,,,AVL,CRY,3,0
1992_1993,,,,AVL,IPS,2,0
1992_1993,,,,AVL,LEE,1,1
1992_1993,,,,AVL,MID,5,1
1992_1993,,,,AVL,OLD,0,1
1992_1993,,,,AVL,WIM,1,0
1992_1993,,,,BLB,ARS,1,0
1992_1993,,,,BLB,LIV,4,1
1992_1993,,,,BLB,SHW,1,0
1992_1993,,,,BLB,TOT,0,2
1992_1993,,,,BLB,CRY,1,2
1992_1993,,,,BLB,LEE,3,1
1992_1993,,,,BLB,NFO,4,1
1992_1993,,,,BLB,SHU,1,0
1992_1993,,,,BLB,SOU,0,0
1992_1993,,,,BLB,CHE,2,0
1992_1993,,,,BLB,COV,2,5
1992_1993,,,,BLB,EVE,2,3
1992_1993,,,,BLB,IPS,2,1
1992_1993,,,,BLB,MID,1,1
1992_1993,,,,BLB,NOR,7,1
1992_1993,,,,BLB,OLD,2,0
1992_1993,,,,BLB,AVL,3,0
1992_1993,,,,BLB,MCI,1,0
1992_1993,,,,BLB,MUN,0,0
1992_1993,,,,BLB,QPR,1,0
1992_1993,,,,BLB,WIM,0,0
1992_1993,,,,CHE,IPS,2,1
1992_1993,,,,CHE,MID,4,0
1992_1993,,,,CHE,NFO,0,0
1992_1993,,,,CHE,QPR,1,0
1992_1993,,,,CHE,SHU,1,2
1992_1993,,,,CHE,TOT,1,1
1992_1993,,,,CHE,AVL,0,1
1992_1993,,,,CHE,BLB,0,0
1992_1993,,,,CHE,ARS,1,0
1992_1993,,,,CHE,CRY,3,1
1992_1993,,,,CHE,LEE,1,0
1992_1993,,,,CHE,LIV,0,0
1992_1993,,,,CHE,NOR,2,3
1992_1993,,,,CHE,SHW,0,2
1992_1993,,,,CHE,COV,2,1
1992_1993,,,,CHE,EVE,2,1
1992_1993,,,,CHE,MCI,2,4
1992_1993,,,,CHE,MUN,1,1
1992_1993,,,,CHE,OLD,1,1
1992_1993,,,,CHE,SOU,1,1
1992_1993,,,,CHE,WIM,4,2
1992_1993,,,,COV,ARS,0,2
1992_1993,,,,COV,AVL,3,0
1992_1993,,,,COV,CHE,1,2
1992_1993,,,,COV,IPS,2,2
1992_1993,,,,COV,LEE,3,3
1992_1993,,,,COV,NOR,1,1
1992_1993,,,,COV,NFO,0,1
1992_1993,,,,COV,TOT,1,0
1992_1993,,,,COV,WIM,0,2
1992_1993,,,,COV,OLD,3,0
1992_1993,,,,COV,QPR,0,1
1992_1993,,,,COV,SHU,1,3
1992_1993,,,,COV,BLB,0,2
1992_1993,,,,COV,EVE,0,1
1992_1993,,,,COV,LIV,5,1
1992_1993,,,,COV,MCI,2,3
1992_1993,,,,COV,MID,2,1
1992_1993,,,,COV,CRY,2,2
1992_1993,,,,COV,MUN,0,1
1992_1993,,,,COV,SHW,1,0
1992_1993,,,,COV,SOU,2,0
1992_1993,,,,CRY,COV,0,0
1992_1993,,,,CRY,MID,4,1
1992_1993,,,,CRY,NOR,1,2
1992_1993,,,,CRY,QPR,1,1
1992_1993,,,,CRY,ARS,1,2
1992_1993,,,,CRY,IPS,3,1
1992_1993,,,,CRY,LIV,1,1
1992_1993,,,,CRY,MCI,0,0
1992_1993,,,,CRY,SHW,1,1
1992_1993,,,,CRY,AVL,1,0
1992_1993,,,,CRY,CHE,1,1
1992_1993,,,,CRY,LEE,1,0
1992_1993,,,,CRY,MUN,0,2
1992_1993,,,,CRY,NFO,1,1
1992_1993,,,,CRY,SHU,2,0
1992_1993,,,,CRY,WIM,2,0
1992_1993,,,,CRY,BLB,3,3
1992_1993,,,,CRY,EVE,0,2
1992_1993,,,,CRY,OLD,2,2
1992_1993,,,,CRY,SOU,1,2
1992_1993,,,,CRY,TOT,1,3
1992_1993,,,,EVE,BLB,2,1
1992_1993,,,,EVE,IPS,3,0
1992_1993,,,,EVE,LEE,2,0
1992_1993,,,,EVE,NFO,3,0
1992_1993,,,,EVE,QPR,3,5
1992_1993,,,,EVE,SOU,2,1
1992_1993,,,,EVE,CHE,0,1
1992_1993,,,,EVE,LIV,2,1
1992_1993,,,,EVE,TOT,1,2
1992_1993,,,,EVE,ARS,0,0
1992_1993,,,,EVE,AVL,1,0
1992_1993,,,,EVE,COV,1,1
1992_1993,,,,EVE,MCI,1,3
1992_1993,,,,EVE,SHW,1,1
1992_1993,,,,EVE,WIM,0,0
1992_1993,,,,EVE,CRY,0,2
1992_1993,,,,EVE,MUN,0,2
1992_1993,,,,EVE,MID,2,2
1992_1993,,,,EVE,NOR,0,1
1992_1993,,,,EVE,OLD,2,2
1992_1993,,,,EVE,SHU,0,2
1992_1993,,,,IPS,CHE,1,1
1992_1993,,,,IPS,MUN,2,1
1992_1993,,,,IPS,NOR,3,1
1992_1993,,,,IPS,NFO,2,1
1992_1993,,,,IPS,SOU,0,0
1992_1993,,,,IPS,EVE,1,0
1992_1993,,,,IPS,LEE,4,2
1992_1993,,,,IPS,BLB,2,1
1992_1993,,,,IPS,MID,0,1
1992_1993,,,,IPS,OLD,1,2
1992_1993,,,,IPS,QPR,1,1
1992_1993,,,,IPS,SHU,0,0
1992_1993,,,,IPS,SHW,0,1
1992_1993,,,,IPS,WIM,2,1
1992_1993,,,,IPS,ARS,1,2
1992_1993,,,,IPS,AVL,1,1
1992_1993,,,,IPS,COV,0,0
1992_1993,,,,IPS,CRY,2,2
1992_1993,,,,IPS,LIV,2,2
1992_1993,,,,IPS,MCI,3,1
1992_1993,,,,IPS,TOT,1,1
1992_1993,,,,LEE,AVL,1,1
1992_1993,,,,LEE,BLB,5,2
1992_1993,,,,LEE,CRY,0,0
1992_1993,,,,LEE,EVE,2,0
1992_1993,,,,LEE,NOR,0,0
1992_1993,,,,LEE,NFO,1,4
1992_1993,,,,LEE,QPR,1,1
1992_1993,,,,LEE,SOU,2,1
1992_1993,,,,LEE,ARS,3,0
1992_1993,,,,LEE,COV,2,2
1992_1993,,,,LEE,LIV,2,2
1992_1993,,,,LEE,SHW,3,1
1992_1993,,,,LEE,TOT,5,0
1992_1993,,,,LEE,CHE,1,1
1992_1993,,,,LEE,IPS,1,0
1992_1993,,,,LEE,MCI,1,0
1992_1993,,,,LEE,SHU,3,1
1992_1993,,,,LEE,MUN,0,0
1992_1993,,,,LEE,MID,3,0
1992_1993,,,,LEE,OLD,2,0
1992_1993,,,,LEE,WIM,2,1
1992_1993,,,,LIV,MUN,1,2
1992_1993,,,,LIV,NOR,4,1
1992_1993,,,,LIV,SHU,2,1
1992_1993,,,,LIV,WIM,2,3
1992_1993,,,,LIV,ARS,0,2
1992_1993,,,,LIV,AVL,1,2
1992_1993,,,,LIV,LEE,2,0
1992_1993,,,,LIV,TOT,6,2
1992_1993,,,,LIV,COV,4,0
1992_1993,,,,LIV,CRY,5,0
1992_1993,,,,LIV,EVE,1,0
1992_1993,,,,LIV,IPS,0,0
1992_1993,,,,LIV,MID,4,1
1992_1993,,,,LIV,SOU,1,1
1992_1993,,,,LIV,BLB,2,1
1992_1993,,,,LIV,CHE,2,1
1992_1993,,,,LIV,MCI,1,1
1992_1993,,,,LIV,NFO,0,0
1992_1993,,,,LIV,OLD,1,0
1992_1993,,,,LIV,QPR,1,0
1992_1993,,,,LIV,SHW,1,0
1992_1993,,,,MCI,ARS,0,1
1992_1993,,,,MCI,AVL,1,1
1992_1993,,,,MCI,CHE,0,1
1992_1993,,,,MCI,EVE,2,5
1992_1993,,,,MCI,MID,0,1
1992_1993,,,,MCI,NOR,3,1
1992_1993,,,,MCI,OLD,3,3
1992_1993,,,,MCI,BLB,3,2
1992_1993,,,,MCI,CRY,0,0
1992_1993,,,,MCI,LEE,4,0
1992_1993,,,,MCI,MUN,1,1
1992_1993,,,,MCI,NFO,2,2
1992_1993,,,,MCI,QPR,1,1
1992_1993,,,,MCI,SHU,2,0
1992_1993,,,,MCI,SHW,1,2
1992_1993,,,,MCI,COV,1,0
1992_1993,,,,MCI,IPS,3,1
1992_1993,,,,MCI,TOT,0,1
1992_1993,,,,MCI,LIV,1,1
1992_1993,,,,MCI,SOU,1,0
1992_1993,,,,MCI,WIM,1,1
1992_1993,,,,MID,EVE,1,2
1992_1993,,,,MID,IPS,2,2
1992_1993,,,,MID,LIV,1,2
1992_1993,,,,MID,NOR,3,3
1992_1993,,,,MID,NFO,1,2
1992_1993,,,,MID,QPR,0,1
1992_1993,,,,MID,SHU,2,0
1992_1993,,,,MID,SHW,1,1
1992_1993,,,,MID,SOU,2,1
1992_1993,,,,MID,AVL,2,3
1992_1993,,,,MID,BLB,3,2
1992_1993,,,,MID,CRY,0,1
1992_1993,,,,MID,MCI,2,0
1992_1993,,,,MID,TOT,3,0
1992_1993,,,,MID,WIM,2,0
1992_1993,,,,MID,ARS,1,0
1992_1993,,,,MID,CHE,0,0
1992_1993,,,,MID,COV,0,2
1992_1993,,,,MID,LEE,4,1
1992_1993,,,,MID,MUN,1,1
1992_1993,,,,MID,OLD,2,3
1992_1993,,,,MUN,COV,5,0
1992_1993,,,,MUN,IPS,1,1
1992_1993,,,,MUN,LIV,2,2
1992_1993,,,,MUN,NFO,2,0
1992_1993,,,,MUN,QPR,0,0
1992_1993,,,,MUN,SOU,2,1
1992_1993,,,,MUN,TOT,4,1
1992_1993,,,,MUN,AVL,1,1
1992_1993,,,,MUN,CHE,3,0
1992_1993,,,,MUN,MCI,2,1
1992_1993,,,,MUN,SHU,2,1
1992_1993,,,,MUN,WIM,0,1
1992_1993,,,,MUN,ARS,0,0
1992_1993,,,,MUN,BLB,3,1
1992_1993,,,,MUN,CRY,1,0
1992_1993,,,,MUN,EVE,0,3
1992_1993,,,,MUN,MID,3,0
1992_1993,,,,MUN,OLD,3,0
1992_1993,,,,MUN,SHW,2,1
1992_1993,,,,MUN,LEE,2,0
1992_1993,,,,MUN,NOR,1,0
1992_1993,,,,NFO,IPS,0,1
1992_1993,,,,NFO,LEE,1,1
1992_1993,,,,NFO,SHU,0,2
1992_1993,,,,NFO,BLB,1,3
1992_1993,,,,NFO,COV,1,1
1992_1993,,,,NFO,LIV,1,0
1992_1993,,,,NFO,MCI,0,2
1992_1993,,,,NFO,MUN,0,2
1992_1993,,,,NFO,MID,1,0
1992_1993,,,,NFO,ARS,0,1
1992_1993,,,,NFO,AVL,0,1
1992_1993,,,,NFO,CHE,3,0
1992_1993,,,,NFO,NOR,0,3
1992_1993,,,,NFO,QPR,1,0
1992_1993,,,,NFO,TOT,2,1
1992_1993,,,,NFO,WIM,1,1
1992_1993,,,,NFO,CRY,1,1
1992_1993,,,,NFO,EVE,0,1
1992_1993,,,,NFO,OLD,2,0
1992_1993,,,,NFO,SHW,1,2
1992_1993,,,,NFO,SOU,1,2
1992_1993,,,,NOR,ARS,1,1
1992_1993,,,,NOR,EVE,1,1
1992_1993,,,,NOR,LIV,1,0
1992_1993,,,,NOR,MUN,1,3
1992_1993,,,,NOR,NFO,3,1
1992_1993,,,,NOR,OLD,1,0
1992_1993,,,,NOR,WIM,2,1
1992_1993,,,,NOR,COV,1,1
1992_1993,,,,NOR,CRY,4,2
1992_1993,,,,NOR,LEE,4,2
1992_1993,,,,NOR,MCI,2,1
1992_1993,,,,NOR,QPR,2,1
1992_1993,,,,NOR,SOU,1,0
1992_1993,,,,NOR,AVL,1,0
1992_1993,,,,NOR,TOT,0,0
1992_1993,,,,NOR,BLB,0,0
1992_1993,,,,NOR,CHE,2,1
1992_1993,,,,NOR,IPS,0,2
1992_1993,,,,NOR,MID,1,1
1992_1993,,,,NOR,SHU,2,1
1992_1993,,,,NOR,SHW,1,0
1992_1993,,,,OLD,EVE,1,0
1992_1993,,,,OLD,MUN,1,0
1992_1993,,,,OLD,NOR,2,3
1992_1993,,,,OLD,NFO,5,3
1992_1993,,,,OLD,ARS,0,1
1992_1993,,,,OLD,AVL,1,1
1992_1993,,,,OLD,CHE,3,1
1992_1993,,,,OLD,IPS,4,2
1992_1993,,,,OLD,LEE,2,2
1992_1993,,,,OLD,LIV,3,2
1992_1993,,,,OLD,MCI,0,1
1992_1993,,,,OLD,MID,4,1
1992_1993,,,,OLD,SHW,1,1
1992_1993,,,,OLD,COV,0,1
1992_1993,,,,OLD,QPR,2,2
1992_1993,,,,OLD,SHU,1,1
1992_1993,,,,OLD,WIM,6,2
1992_1993,,,,OLD,BLB,0,1
1992_1993,,,,OLD,CRY,1,1
1992_1993,,,,OLD,SOU,4,3
1992_1993,,,,OLD,TOT,2,1
1992_1993,,,,QPR,BLB,0,3
1992_1993,,,,QPR,COV,2,0
1992_1993,,,,QPR,LEE,2,1
1992_1993,,,,QPR,MUN,1,3
1992_1993,,,,QPR,OLD,3,2
1992_1993,,,,QPR,TOT,4,1
1992_1993,,,,QPR,WIM,1,2
1992_1993,,,,QPR,ARS,0,0
1992_1993,,,,QPR,AVL,2,1
1992_1993,,,,QPR,LIV,0,1
1992_1993,,,,QPR,MCI,1,1
1992_1993,,,,QPR,SHU,3,2
1992_1993,,,,QPR,CRY,1,3
1992_1993,,,,QPR,MID,3,3
1992_1993,,,,QPR,NOR,3,1
1992_1993,,,,QPR,SOU,3,1
1992_1993,,,,QPR,CHE,1,1
1992_1993,,,,QPR,EVE,4,2
1992_1993,,,,QPR,IPS,0,0
1992_1993,,,,QPR,NFO,4,3
1992_1993,,,,QPR,SHW,3,1
1992_1993,,,,SHU,COV,1,1
1992_1993,,,,SHU,CRY,0,1
1992_1993,,,,SHU,LIV,1,0
1992_1993,,,,SHU,MCI,1,1
1992_1993,,,,SHU,MID,2,0
1992_1993,,,,SHU,BLB,1,3
1992_1993,,,,SHU,NOR,0,1
1992_1993,,,,SHU,OLD,2,0
1992_1993,,,,SHU,SOU,2,0
1992_1993,,,,SHU,TOT,6,0
1992_1993,,,,SHU,CHE,4,2
1992_1993,,,,SHU,EVE,1,0
1992_1993,,,,SHU,QPR,1,2
1992_1993,,,,SHU,ARS,1,1
1992_1993,,,,SHU,AVL,0,2
1992_1993,,,,SHU,IPS,3,0
1992_1993,,,,SHU,LEE,2,1
1992_1993,,,,SHU,MUN,2,1
1992_1993,,,,SHU,NFO,0,0
1992_1993,,,,SHU,SHW,1,1
1992_1993,,,,SHU,WIM,2,2
1992_1993,,,,SHW,ARS,1,0
1992_1993,,,,SHW,CRY,2,1
1992_1993,,,,SHW,IPS,1,1
1992_1993,,,,SHW,MCI,0,3
1992_1993,,,,SHW,NFO,2,0
1992_1993,,,,SHW,SOU,5,2
1992_1993,,,,SHW,WIM,1,1
1992_1993,,,,SHW,MID,2,3
1992_1993,,,,SHW,SHU,1,1
1992_1993,,,,SHW,BLB,0,0
1992_1993,,,,SHW,CHE,3,3
1992_1993,,,,SHW,COV,1,2
1992_1993,,,,SHW,MUN,3,3
1992_1993,,,,SHW,QPR,1,0
1992_1993,,,,SHW,AVL,1,2
1992_1993,,,,SHW,EVE,3,1
1992_1993,,,,SHW,LEE,1,1
1992_1993,,,,SHW,LIV,1,1
1992_1993,,,,SHW,NOR,1,0
1992_1993,,,,SHW,OLD,2,1
1992_1993,,,,SHW,TOT,2,0
1992_1993,,,,SOU,ARS,2,0
1992_1993,,,,SOU,CHE,1,0
1992_1993,,,,SOU,MCI,0,1
1992_1993,,,,SOU,MUN,0,1
1992_1993,,,,SOU,NFO,1,2
1992_1993,,,,SOU,WIM,2,2
1992_1993,,,,SOU,BLB,1,1
1992_1993,,,,SOU,LEE,1,1
1992_1993,,,,SOU,LIV,2,1
1992_1993,,,,SOU,NOR,3,0
1992_1993,,,,SOU,AVL,2,0
1992_1993,,,,SOU,COV,2,2
1992_1993,,,,SOU,CRY,1,0
1992_1993,,,,SOU,EVE,0,0
1992_1993,,,,SOU,IPS,4,3
1992_1993,,,,SOU,MID,2,1
1992_1993,,,,SOU,OLD,1,0
1992_1993,,,,SOU,QPR,1,2
1992_1993,,,,SOU,SHU,3,2
1992_1993,,,,SOU,SHW,1,2
1992_1993,,,,SOU,TOT,0,0
1992_1993,,,,TOT,IPS,0,2
1992_1993,,,,TOT,MID,2,2
1992_1993,,,,TOT,NOR,5,1
1992_1993,,,,TOT,NFO,2,1
1992_1993,,,,TOT,SHW,0,2
1992_1993,,,,TOT,WIM,1,1
1992_1993,,,,TOT,BLB,1,2
1992_1993,,,,TOT,COV,0,2
1992_1993,,,,TOT,LEE,4,0
1992_1993,,,,TOT,SOU,4,2
1992_1993,,,,TOT,CHE,1,2
1992_1993,,,,TOT,LIV,2,0
1992_1993,,,,TOT,MUN,1,1
1992_1993,,,,TOT,QPR,3,2
1992_1993,,,,TOT,SHU,2,0
1992_1993,,,,TOT,ARS,1,0
1992_1993,,,,TOT,AVL,0,0
1992_1993,,,,TOT,CRY,2,2
1992_1993,,,,TOT,EVE,2,1
1992_1993,,,,TOT,MCI,3,1
1992_1993,,,,TOT,OLD,4,1
1992_1993,,,,WIM,ARS,3,2
1992_1993,,,,WIM,BLB,1,1
1992_1993,,,,WIM,CHE,0,0
1992_1993,,,,WIM,CRY,4,0
1992_1993,,,,WIM,IPS,0,1
1992_1993,,,,WIM,OLD,5,2
1992_1993,,,,WIM,SHW,1,1
1992_1993,,,,WIM,EVE,1,3
1992_1993,,,,WIM,LEE,1,0
1992_1993,,,,WIM,NOR,3,0
1992_1993,,,,WIM,SOU,1,2
1992_1993,,,,WIM,AVL,2,3
1992_1993,,,,WIM,SHU,2,0
1992_1993,,,,WIM,TOT,1,1
1992_1993,,,,WIM,COV,1,2
1992_1993,,,,WIM,LIV,2,0
1992_1993,,,,WIM,MCI,0,1
1992_1993,,,,WIM,MUN,1,2
1992_1993,,,,WIM,MID,2,0
1992_1993,,,,WIM,NFO,1,0
1992_1993,,,,WIM,QPR,0,2
1993_1994,1993-08-14 00:00:00,14/08/93,,ARS,COV,0,3
1993_1994,1993-08-14 00:00:00,14/08/93,,AVL,QPR,4,1
1993_1994,1993-08-14 00:00:00,14/08/93,,CHE,BLB,1,2
1993_1994,1993-08-14 00:00:00,14/08/93,,LIV,SHW,2,0
1993_1994,1993-08-14 00:00:00,14/08/93,,MCI,LEE,1,1
1993_1994,1993-08-14 00:00:00,14/08/93,,NEW,TOT,0,1
1993_1994,1993-08-14 00:00:00,14/08/93,,OLD,IPS,0,3
1993_1994,1993-08-14 00:00:00,14/08/93,,SHU,SWI,3,1
1993_1994,1993-08-14 00:00:00,14/08/93,,SOU,EVE,0,2
1993_1994,1993-08-14 00:00:00,14/08/93,,WHU,WIM,0,2
1993_1994,1993-08-15 00:00:00,15/08/93,,NOR,MUN,0,2
1993_1994,1993-08-16 00:00:00,16/08/93,,TOT,ARS,0,1
1993_1994,1993-08-17 00:00:00,17/08/93,,EVE,MCI,1,0
1993_1994,1993-08-17 00:00:00,17/08/93,,IPS,SOU,1,0
1993_1994,1993-08-17 00:00:00,17/08/93,,LEE,WHU,1,0
1993_1994,1993-08-17 00:00:00,17/08/93,,WIM,CHE,1,1
1993_1994,1993-08-18 00:00:00,18/08/93,,BLB,NOR,2,3
1993_1994,1993-08-18 00:00:00,18/08/93,,COV,NEW,2,1
1993_1994,1993-08-18 00:00:00,18/08/93,,MUN,SHU,3,0
1993_1994,1993-08-18 00:00:00,18/08/93,,QPR,LIV,1,3
1993_1994,1993-08-18 00:00:00,18/08/93,,SHW,AVL,0,0
1993_1994,1993-08-18 00:00:00,18/08/93,,SWI,OLD,0,1
1993_1994,1993-08-21 00:00:00,21/08/93,,BLB,OLD,1,0
1993_1994,1993-08-21 00:00:00,21/08/93,,COV,WHU,1,1
1993_1994,1993-08-21 00:00:00,21/08/93,,EVE,SHU,4,2
1993_1994,1993-08-21 00:00:00,21/08/93,,IPS,CHE,1,0
1993_1994,1993-08-21 00:00:00,21/08/93,,LEE,NOR,0,4
1993_1994,1993-08-21 00:00:00,21/08/93,,MUN,NEW,1,1
1993_1994,1993-08-21 00:00:00,21/08/93,,QPR,SOU,2,1
1993_1994,1993-08-21 00:00:00,21/08/93,,SHW,ARS,0,1
1993_1994,1993-08-21 00:00:00,21/08/93,,TOT,MCI,1,0
1993_1994,1993-08-21 00:00:00,21/08/93,,WIM,AVL,2,2
1993_1994,1993-08-22 00:00:00,22/08/93,,SWI,LIV,0,5
1993_1994,1993-08-23 00:00:00,23/08/93,,AVL,MUN,1,2
1993_1994,1993-08-24 00:00:00,24/08/93,,ARS,LEE,2,1
1993_1994,1993-08-24 00:00:00,24/08/93,,MCI,BLB,0,2
1993_1994,1993-08-24 00:00:00,24/08/93,,OLD,COV,3,3
1993_1994,1993-08-24 00:00:00,24/08/93,,SHU,WIM,2,1
1993_1994,1993-08-25 00:00:00,25/08/93,,CHE,QPR,2,0
1993_1994,1993-08-25 00:00:00,25/08/93,,LIV,TOT,1,2
1993_1994,1993-08-25 00:00:00,25/08/93,,NEW,EVE,1,0
1993_1994,1993-08-25 00:00:00,25/08/93,,NOR,IPS,1,0
1993_1994,1993-08-25 00:00:00,25/08/93,,SOU,SWI,5,1
1993_1994,1993-08-25 00:00:00,25/08/93,,WHU,SHW,2,0
1993_1994,1993-08-27 00:00:00,27/08/93,,MCI,COV,1,1
1993_1994,1993-08-28 00:00:00,28/08/93,,ARS,EVE,2,0
1993_1994,1993-08-28 00:00:00,28/08/93,,AVL,TOT,1,0
1993_1994,1993-08-28 00:00:00,28/08/93,,CHE,SHW,1,1
1993_1994,1993-08-28 00:00:00,28/08/93,,LIV,LEE,2,0
1993_1994,1993-08-28 00:00:00,28/08/93,,NOR,SWI,0,0
1993_1994,1993-08-28 00:00:00,28/08/93,,OLD,WIM,1,1
1993_1994,1993-08-28 00:00:00,28/08/93,,SHU,IPS,1,1
1993_1994,1993-08-28 00:00:00,28/08/93,,SOU,MUN,1,3
1993_1994,1993-08-28 00:00:00,28/08/93,,WHU,QPR,0,4
1993_1994,1993-08-29 00:00:00,29/08/93,,NEW,BLB,1,1
1993_1994,1993-08-30 00:00:00,30/08/93,,LEE,OLD,1,0
1993_1994,1993-08-31 00:00:00,31/08/93,,EVE,AVL,0,1
1993_1994,1993-08-31 00:00:00,31/08/93,,IPS,NEW,1,1
1993_1994,1993-08-31 00:00:00,31/08/93,,WIM,SOU,1,0
1993_1994,1993-09-01 00:00:00,01/09/93,,BLB,ARS,1,1
1993_1994,1993-09-01 00:00:00,01/09/93,,COV,LIV,1,0
1993_1994,1993-09-01 00:00:00,01/09/93,,MUN,WHU,3,0
1993_1994,1993-09-01 00:00:00,01/09/93,,QPR,SHU,2,1
1993_1994,1993-09-01 00:00:00,01/09/93,,SHW,NOR,3,3
1993_1994,1993-09-01 00:00:00,01/09/93,,SWI,MCI,1,3
1993_1994,1993-09-01 00:00:00,01/09/93,,TOT,CHE,1,1
1993_1994,1993-09-11 00:00:00,11/09/93,,ARS,IPS,4,0
1993_1994,1993-09-11 00:00:00,11/09/93,,AVL,COV,0,0
1993_1994,1993-09-11 00:00:00,11/09/93,,CHE,MUN,1,0
1993_1994,1993-09-11 00:00:00,11/09/93,,MCI,QPR,3,0
1993_1994,1993-09-11 00:00:00,11/09/93,,NOR,WIM,0,1
1993_1994,1993-09-11 00:00:00,11/09/93,,OLD,EVE,0,1
1993_1994,1993-09-11 00:00:00,11/09/93,,SHU,TOT,2,2
