season,fpos,ccode,played,won,drawn,lost,scored,conceded,goal_diff,points
1994_1995,1,NFO,42,22,11,9,72,43,29,77
1994_1995,2,IPS,42,7,6,29,36,93,-57,27
1994_1995,3,LEI,42,6,11,25,45,80,-35,29
1994_1995,4,NOR,42,10,13,19,37,54,-17,43
1994_1995,5,CRY,42,11,12,19,34,49,-15,45
1994_1995,6,AVL,42,11,15,16,51,56,-5,48
1994_1995,7,MCI,42,12,13,17,53,64,-11,49
1994_1995,8,COV,42,12,14,16,44,62,-18,50
1994_1995,9,EVE,42,11,17,14,44,51,-7,50
1994_1995,10,WHU,42,13,11,18,44,48,-4,50
1994_1995,11,SHW,42,13,12,17,49,57,-8,51
1994_1995,12,ARS,42,13,12,17,52,49,3,51
1994_1995,13,CHE,42,13,15,14,50,55,-5,54
1994_1995,14,SOU,42,12,18,12,61,63,-2,54
1994_1995,15,WIM,42,15,11,16,48,65,-17,56
1994_1995,16,QPR,42,17,9,16,61,59,2,60
1994_1995,17,TOT,42,16,14,12,66,58,8,62
1994_1995,18,NEW,42,20,12,10,67,47,20,72
1994_1995,19,LEE,42,20,13,9,59,38,21,73
1994_1995,20,LIV,42,21,11,10,65,37,28,74
1994_1995,21,BLB,42,27,8,7,80,39,41,89
1994_1995,22,MUN,42,26,10,6,77,28,49,88
2003_2004,1,ARS,38,26,12,0,73,26,47,90
2003_2004,2,MUN,38,23,6,9,64,35,29,75
2003_2004,3,WOL,38,7,12,19,38,77,-39,33
2003_2004,4,LEE,38,8,9,21,40,79,-39,33
2003_2004,5,LEI,38,6,15,17,48,65,-17,33
2003_2004,6,EVE,38,9,12,17,45,57,-12,39
2003_2004,7,MCI,38,9,14,15,55,54,1,41
2003_2004,8,BLB,38,12,8,18,51,59,-8,44
2003_2004,9,TOT,38,13,6,19,47,57,-10,45
2003_2004,10,POR,38,12,9,17,47,54,-7,45
2003_2004,11,SOU,38,12,11,15,44,45,-1,47
2003_2004,12,MID,38,13,9,16,44,52,-8,48
2003_2004,13,BIR,38,12,14,12,43,48,-5,50
2003_2004,14,FUL,38,14,10,14,52,46,6,52
2003_2004,15,BOL,38,14,11,13,48,56,-8,53
2003_2004,16,CHA,38,14,11,13,51,51,0,53
2003_2004,17,AVL,38,15,11,12,48,44,4,56
2003_2004,18,NEW,38,13,17,8,52,40,12,56
2003_2004,19,LIV,38,16,12,10,55,37,18,60
2003_2004,20,CHE,38,24,7,7,67,30,37,79
2012_2013,1,MUN,38,28,5,5,86,43,43,89
2012_2013,2,MCI,38,23,9,6,66,34,32,78
2012_2013,3,CHE,38,22,9,7,75,39,36,75
2012_2013,4,ARS,38,21,10,7,72,37,35,73
2012_2013,5,TOT,38,21,9,8,66,46,20,72
2012_2013,6,EVE,38,16,15,7,55,40,15,63
2012_2013,7,LIV,38,16,13,9,71,43,28,61
2012_2013,8,WBA,38,14,7,17,53,57,-4,49
2012_2013,9,SWA,38,11,13,14,47,51,-4,46
2012_2013,10,WHU,38,12,10,16,45,53,-8,46
2012_2013,11,NOR,38,10,14,14,41,58,-17,44
2012_2013,12,FUL,38,11,10,17,50,60,-10,43
2012_2013,13,STK,38,9,15,14,34,45,-11,42
2012_2013,14,SOU,38,9,14,15,49,60,-11,41
2012_2013,15,AVL,38,10,11,17,47,69,-22,41
2012_2013,16,NEW,38,11,8,19,45,68,-23,41
2012_2013,17,SUN,38,9,12,17,41,54,-13,39
2012_2013,18,WIG,38,9,9,20,47,73,-26,36
2012_2013,19,REA,38,6,10,22,43,73,-30,28
2012_2013,20,QPR,38,4,13,21,30,60,-30,25
2019_2020,1,LIV,38,32,3,3,85,33,52,99
2019_2020,2,MCI,38,26,3,9,102,35,67,81
2019_2020,3,MUN,38,18,12,8,66,36,30,66
2019_2020,4,CHE,38,20,6,12,69,54,15,66
2019_2020,5,LEI,38,18,8,12,67,41,26,62
2019_2020,6,TOT,38,16,11,11,61,47,14,59
2019_2020,7,WOL,38,15,14,9,51,40,11,59
2019_2020,8,ARS,38,14,14,10,56,48,8,56
2019_2020,9,SHU,38,14,12,12,39,39,0,54
2019_2020,10,BUR,38,15,9,14,43,50,-7,54
2019_2020,11,SOU,38,15,7,16,51,60,-9,52
2019_2020,12,EVE,38,13,10,15,44,56,-12,49
2019_2020,13,NEW,38,11,11,16,38,58,-20,44
2019_2020,14,CRY,38,11,10,17,31,50,-19,43
2019_2020,15,BHA,38,9,14,15,39,54,-15,41
2019_2020,16,WHU,38,10,9,19,49,62,-13,39
2019_2020,17,AVL,38,9,8,21,41,67,-26,35
2019_2020,18,BOU,38,9,7,22,40,65,-25,34
2019_2020,19,WAT,38,8,10,20,36,64,-28,34
2019_2020,20,NOR,38,5,6,27,26,75,-49,21
2007_2008,1,BOL,38,9,10,19,36,54,-18,37
2007_2008,2,FUL,38,8,12,18,38,60,-22,36
2007_2008,3,SUN,38,11,6,21,36,59,-23,39
2007_2008,4,WIG,38,10,10,18,34,51,-17,40
2007_2008,5,MID,38,10,12,16,43,53,-10,42
2007_2008,6,NEW,38,11,10,17,45,65,-20,43
2007_2008,7,TOT,38,11,13,14,66,61,5,46
2007_2008,8,WHU,38,13,10,15,42,50,-8,49
2007_2008,9,MCI,38,15,10,13,45,53,-8,55
2007_2008,10,BLB,38,15,13,10,50,48,2,58
2007_2008,11,AVL,38,16,12,10,71,51,20,60
2007_2008,12,EVE,38,19,8,11,55,33,22,65
2007_2008,13,LIV,38,21,13,4,67,28,39,76
2007_2008,14,ARS,38,24,11,3,74,31,43,83
2007_2008,15,CHE,38,25,10,3,65,26,39,85
2007_2008,16,MUN,38,27,6,5,80,22,58,87
2007_2008,17,DER,38,1,8,29,20,89,-69,11
2007_2008,18,BIR,38,8,11,19,46,62,-16,35
2007_2008,19,REA,38,10,6,22,41,66,-25,36
2007_2008,20,POR,38,16,9,13,48,40,8,57
2022_2023,1,SOU,38,6,7,25,36,73,-37,25
2022_2023,2,LEE,38,7,10,21,48,78,-30,31
2022_2023,3,LEI,38,9,7,22,51,68,-17,34
2022_2023,4,EVE,38,8,12,18,34,57,-23,36
2022_2023,5,NFO,38,9,11,18,38,68,-30,38
2022_2023,6,BOU,38,11,6,21,37,71,-34,39
2022_2023,7,WHU,38,11,7,20,42,55,-13,40
2022_2023,8,WOL,38,11,8,19,31,58,-27,41
2022_2023,9,CHE,38,11,11,16,38,47,-9,44
2022_2023,10,ARS,38,26,6,6,88,43,45,84
2022_2023,11,FUL,38,15,7,16,55,53,2,52
2022_2023,12,MCI,38,28,5,5,94,33,61,89
2022_2023,13,BRE,38,15,14,9,58,46,12,59
2022_2023,14,TOT,38,18,6,14,70,63,7,60
2022_2023,15,AVL,38,18,7,13,51,46,5,61
2022_2023,16,BHA,38,18,8,12,72,53,19,62
2022_2023,17,LIV,38,19,10,9,75,47,28,67
2022_2023,18,NEW,38,19,14,5,68,33,35,71
2022_2023,19,MUN,38,23,6,9,58,43,15,75
2022_2023,20,CRY,38,11,12,15,40,49,-9,45
1993_1994,1,BLB,42,25,9,8,63,36,27,84
1993_1994,2,NEW,42,23,8,11,82,41,41,77
1993_1994,3,OLD,42,9,13,20,42,68,-26,40
