club_name	club_code
Blackburn Rovers	BLB
Leeds United	LEE
Liverpool	LIV
Manchester City	MCI
Newcastle United	NEW
Norwich City	NOR
Queens Park Rangers	QPR
Wimbledon	WIM
Sunderland	SUN
Barnsley	BAR
Charlton Athletic	CHA
Bradford City	BRA
Watford	WAT
Wigan Athletic	WIG
Reading	REA
Stoke City	STK
Blackpool	BLP
Brighton & Hove Albion	BHA
Luton Town	LUT
Crystal Palace	CRY
Nottingham Forest	NFO
Middlesbrough	MID
Fulham	FUL
Birmingham City	BIR
Wolverhampton Wanderers	WOL
Swansea City	SWA
Huddersfield Town	HUD
Arsenal	ARS
Aston Villa	AVL
Chelsea	CHE
Everton	EVE
Ipswich Town	IPS
Swindon Town	SWI
Tottenham Hotspur	TOT
Leicester City	LEI
Bolton Wanderers	BOL
Portsmouth	POR
Bournemouth	BOU
Brentford	BRE
Coventry City	COV
Manchester United	MUN
Oldham Athletic	OLD
Sheffield United	SHU
Sheffield Wednesday	SHW
Southampton	SOU
West Ham United	WHU
Derby County	DER
West Bromwich Albion	WBA
Burnley	BUR
Hull City	HUL
Cardiff City	CAR
Coventry City	COV
Crystal Palace	CRY
Leeds United	LEE
Middlesbrough	MID
Nottingham Forest	NFO
Sheffield United	SHU
Sheffield Wednesday	SHW
Oldham Athletic	OLD
Aston Villa	AVL
Blackburn Rovers	BLB
Chelsea	CHE
Ipswich Town	IPS
Norwich City	NOR
Queens Park Rangers	QPR
Southampton	SOU
Tottenham Hotspur	TOT
Arsenal	ARS
Everton	EVE
Liverpool	LIV
Manchester City	MCI
Manchester United	MUN
Wimbledon	WIM
